№   | Дата/время       | Температура | Осадки (мм)
----|------------------|-------------|------------
1   | 2026-05-06T00:00 |      16.5 °C |       0.00
2   | 2026-05-06T01:00 |      15.9 °C |       0.00
3   | 2026-05-06T02:00 |      15.3 °C |       0.00
4   | 2026-05-06T03:00 |      14.0 °C |       0.00
5   | 2026-05-06T04:00 |      13.4 °C |       0.00
6   | 2026-05-06T05:00 |      13.1 °C |       0.00
7   | 2026-05-06T06:00 |      14.6 °C |       0.00
8   | 2026-05-06T07:00 |      16.9 °C |       0.00
9   | 2026-05-06T08:00 |      19.0 °C |       0.00
10  | 2026-05-06T09:00 |      21.8 °C |       0.00
11  | 2026-05-06T10:00 |      24.0 °C |       0.00
12  | 2026-05-06T11:00 |      26.0 °C |       0.00
13  | 2026-05-06T12:00 |      26.6 °C |       0.00
14  | 2026-05-06T13:00 |      27.4 °C |       0.00
15  | 2026-05-06T14:00 |      27.3 °C |       0.00
16  | 2026-05-06T15:00 |      27.8 °C |       0.00
17  | 2026-05-06T16:00 |      27.0 °C |       0.00
18  | 2026-05-06T17:00 |      26.2 °C |       0.00
19  | 2026-05-06T18:00 |      25.5 °C |       0.00
20  | 2026-05-06T19:00 |      23.9 °C |       0.00
21  | 2026-05-06T20:00 |      20.8 °C |       0.00
22  | 2026-05-06T21:00 |      18.8 °C |       0.00
23  | 2026-05-06T22:00 |      17.3 °C |       0.00
24  | 2026-05-06T23:00 |      15.9 °C |       0.00
